Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
carhartt jacke parka herren,Carhartt,15.0,4,6,4.4,7,Es gibt Gebrauchsspuren,https://www.vinted.fr/items/5203237504-carhartt-jacke-parka-herren,manteaux
Carhartt Regenjacke,Carhartt,16.0,3,19,5,1,"Jacke wurde mir in der falschen Größe gesendet, deshalb verkaufe ich sie. Hat also keine optischen Mängel oder sonstiges.",https://www.vinted.fr/items/3841475028-carhartt-regenjacke,manteaux
Carhartt Jacke,Carhartt,25.0,4,9,5,10,Ich verkaufe eine Winterjacke / Parka in brauner Farbe.,https://www.vinted.fr/items/5925282833-carhartt-jacke,manteaux
Carhartt Jacke,Carhartt,50.0,3,1,5,4,"Sehr selten getragen!
Super Qualität",https://www.vinted.fr/items/5992084412-carhartt-jacke,manteaux
Carhartt winter jacket,Carhartt,18.0,3,20,5,9,Beautiful heavy parka with hoodie,https://www.vinted.fr/items/3861652150-carhartt-winter-jacket,manteaux
Carhartt Jacke,Carhartt,20.0,3,19,4.6,73,- guter zustand,https://www.vinted.fr/items/698904903-carhartt-jacke,manteaux
Carhartt Parka Winter Herren Grün Gr.L,Carhartt,45.0,4,30,4.9,14,"Guter Zustand, schon etwas getragen. Fellimitat in Kapuze",https://www.vinted.fr/items/5926854770-carhartt-parka-winter-herren-grun-grl,manteaux
 Carhartt Regenjacke Vintage ,Carhartt,10.0,4,3,4.8,47,"-Kleiner Fleck, unten rechts( Siehe letztes Bild), müsste mit etwas putzen weg gehen.",https://www.vinted.fr/items/1374431887-carhartt-regenjacke-vintage,manteaux
Carhartt Herrenjacke,Carhartt,12.0,Satisfactory,3,4.8,399,Carhart Herrenjacke,https://www.vinted.fr/items/3749734287-carhartt-herrenjacke,manteaux
"Carhartt, khaki Jacke",Carhartt,20.0,3,17,No rating,No evaluations,"XS, einmal getragen",https://www.vinted.fr/items/3489221821-carhartt-khaki-jacke,manteaux
Carhartt Windbreaker ,Carhartt,20.0,3,28,5,22,Cooler windbreaker,https://www.vinted.fr/items/4125728571-carhartt-windbreaker,manteaux
Carhartt Parka Tyrone Jacket,Carhartt,20.0,4,16,4.8,10,"Getragener Carhartt Parka Tyrone Jacket, guter Zustand",https://www.vinted.fr/items/5710911464-carhartt-parka-tyrone-jacket,manteaux
Anchorage Parka von Carhartt,Carhartt,85.0,3,6,5,2720,"Das Modell ist mehr als bekannt!
Hervorragende Qualität und sehr aufwändig verarbeitet! Absoluter Hingucker!
Extrem robust und Wetterbeständig!
Super warm!
Bei weiteren Fragen einfach mailen 
Privat Verkauf, keine Rücknahme",https://www.vinted.fr/items/5973004324-anchorage-parka-von-carhartt,manteaux
