Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Pantaloncino tecnico The North Face uomo,The North Face,19.99,3,2,5,382,No description,https://www.vinted.fr/items/6038965670-pantaloncino-tecnico-the-north-face-uomo,shorts
Survêtement the north face,The North Face,23.0,3,9,3.8,32,"N’a pas de default 
Prix Négociable",https://www.vinted.fr/items/6022542953-survetement-the-north-face,shorts
The North Face Shorts,The North Face,2.0,4,3,1,5,"Size XS
Mint condition",https://www.vinted.fr/items/6009362332-the-north-face-shorts,shorts
Short TNF,The North Face,12.0,3,0,3,2,"short TNF taille M enfant  
porter quelque fois
un peu sale mais sera laver avant l’envoie 👍
n’hésiter pas à me contacter pour plus d’informations!",https://www.vinted.fr/items/6034073222-short-tnf,shorts
Short The North Face,The North Face,15.0,3,10,5,22,"Short, The North Faith en très bon état taille M",https://www.vinted.fr/items/6010920772-short-the-north-face,shorts
Pantaloncino the north face,The North Face,20.0,1,9,4.8,137,"Pantaloncino the north face taglia XL , veste 18/20 anni",https://www.vinted.fr/items/6016452224-pantaloncino-the-north-face,shorts
Pantalones cortos The North Face,The North Face,30.0,1,26,4.9,52,No description,https://www.vinted.fr/items/6017189207-pantalones-cortos-the-north-face,shorts
Short the north face homme authentique,The North Face,20.0,1,14,4.1,9,No description,https://www.vinted.fr/items/6009490122-short-the-north-face-homme-authentique,shorts
pantalon the north face,The North Face,22.0,3,0,No rating,No evaluations,pantalon north face talla S en perfecto estado usado pocas veces y bastante elegante para este verano,https://www.vinted.fr/items/6034476165-pantalon-the-north-face,shorts
Pantalones cortos shorts the north face flashdry,The North Face,30.0,1,10,4.9,450,No description,https://www.vinted.fr/items/5994349109-pantalones-cortos-shorts-the-north-face-flashdry,shorts
Pantaloncino leggero XS,The North Face,20.0,1,19,5,424,No description,https://www.vinted.fr/items/5975396625-pantaloncino-leggero-xs,shorts
Short The North Face,The North Face,10.0,4,12,4.7,34,"Short The North Face
Bon état 
Quelques défauts (logo à l’arrière voir photo)
Taille S",https://www.vinted.fr/items/5903471920-short-the-north-face,shorts
pantalón corto negro The North Face,The North Face,17.0,2,11,4.5,11,Pantalón negro corto de North Face en perfecto estado sin usar sin etiquetas,https://www.vinted.fr/items/5963485841-pantalon-corto-negro-the-north-face,shorts
Magnifique short the north face xs,The North Face,10.0,3,7,4.8,1564,"Porté quelques fois 
Aucun défaut",https://www.vinted.fr/items/5934038212-magnifique-short-the-north-face-xs,shorts
Short The North Face,The North Face,10.0,4,4,4.7,3,"Short The North Face en bon état
Aucune tache mais la couleur un peu partit à force de laver
Taille S",https://www.vinted.fr/items/5969558667-short-the-north-face,shorts
Short,The North Face,6.0,3,8,4.3,26,No description,https://www.vinted.fr/items/4905620449-short,shorts
Short the north face,The North Face,12.0,2,5,3,12,No description,https://www.vinted.fr/items/5946962005-short-the-north-face,shorts
