Title,Brand,Type,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,URL
Gorra nike,Nike,3.0,3,4,No rating,No evaluations,https://www.vinted.fr/items/6053839527-gorra-nike
Casquette nike noir,Nike,7.0,3,3,No rating,No evaluations,https://www.vinted.fr/items/6051636335-casquette-nike-noir
Nike Cap,Nike,24.0,3,0,No rating,No evaluations,https://www.vinted.fr/items/6047238176-nike-cap
Nike Cap,Nike,6.0,4,1,No rating,No evaluations,https://www.vinted.fr/items/6039360304-nike-cap
Capello con visiera Nike,Nike,4.0,4,4,No rating,No evaluations,https://www.vinted.fr/items/6054306834-capello-con-visiera-nike
Casquette Nike,Nike,10.0,1,3,No rating,No evaluations,https://www.vinted.fr/items/6052879370-casquette-nike
Casquette Nike,Nike,10.0,1,3,No rating,No evaluations,https://www.vinted.fr/items/6052867992-casquette-nike
Nike cap,Nike,13.0,3,17,No rating,No evaluations,https://www.vinted.fr/items/6022689345-nike-cap
Baby-Blue Nike cap,Nike,7.0,4,0,No rating,No evaluations,https://www.vinted.fr/items/6040226403-baby-blue-nike-cap
Casquette Nike adultes neuf avec étiquette,Nike,14.0,1,5,No rating,No evaluations,https://www.vinted.fr/items/6052879045-casquette-nike-adultes-neuf-avec-etiquette
Casquette Nike bleue,Nike,4.0,3,2,No rating,No evaluations,https://www.vinted.fr/items/6051671696-casquette-nike-bleue
Boné Nike,Nike,4.0,3,12,No rating,No evaluations,https://www.vinted.fr/items/6048812786-bone-nike
Nike Cap,Nike,8.0,3,1,No rating,No evaluations,https://www.vinted.fr/items/6037720728-nike-cap
Casquette Nike réglable,Nike,7.0,3,3,No rating,No evaluations,https://www.vinted.fr/items/6053755788-casquette-nike-reglable
Nike cap,Nike,5.0,3,3,No rating,No evaluations,https://www.vinted.fr/items/6051067206-nike-cap
Casquette Nike rouge,Nike,5.0,3,12,No rating,No evaluations,https://www.vinted.fr/items/6045169404-casquette-nike-rouge
Casquette,Nike,7.5,3,2,No rating,No evaluations,https://www.vinted.fr/items/6053323253-casquette
berretto nero nike,Nike,5.0,3,3,No rating,No evaluations,https://www.vinted.fr/items/6051245908-berretto-nero-nike
Nike cap,Nike,8.5,3,2,No rating,No evaluations,https://www.vinted.fr/items/6030739327-nike-cap
Cappellino Nike One size,Nike,4.0,2,22,4.9,334,https://www.vinted.fr/items/6047447577-cappellino-nike-one-size
Nike Cap,Nike,15.0,3,8,4.9,82,https://www.vinted.fr/items/6026774016-nike-cap
Chapéu vintage nike,Nike,7.0,Satisfactory,35,5,3,https://www.vinted.fr/items/6047393295-chapeu-vintage-nike
Nike kappe neu grau farbe,Nike,9.0,1,3,4.8,69,https://www.vinted.fr/items/6024188830-nike-kappe-neu-grau-farbe
Casquette Nike,Nike,6.0,3,2,No rating,No evaluations,https://www.vinted.fr/items/6051503906-casquette-nike
Casquette Nike,Nike,12.0,3,8,4.9,72,https://www.vinted.fr/items/6049632506-casquette-nike
casquette nike jaune velour,Nike,15.0,3,3,4.9,123,https://www.vinted.fr/items/6052148619-casquette-nike-jaune-velour
Gorra nike,Nike,3.0,4,13,4.8,49,https://www.vinted.fr/items/6046211954-gorra-nike
Casquette taupe - Nike,Nike,3.0,4,3,4.9,24,https://www.vinted.fr/items/6048622986-casquette-taupe-nike
Nice club cap new,Nike,15.0,1,7,3.5,63,https://www.vinted.fr/items/6052462648-nice-club-cap-new
Nike pet,Nike,10.0,2,5,4.6,18,https://www.vinted.fr/items/6052399680-nike-pet
Cappello Nike,Nike,3.5,3,11,5,35,https://www.vinted.fr/items/6046477975-cappello-nike
Nike golf cap,Nike,17.0,2,7,4.9,12,https://www.vinted.fr/items/6025677314-nike-golf-cap
Nike Air Max Pasha Spor Cap L/XL,Nike,65.0,1,4,4.7,80,https://www.vinted.fr/items/6041704775-nike-air-max-pasha-spor-cap-lxl
Cap Nike golf per TW,Nike,9.0,3,3,5,11,https://www.vinted.fr/items/6051733148-cap-nike-golf-per-tw
"Nike Cap, pink",Nike,10.0,2,16,4.9,33,https://www.vinted.fr/items/6014559832-nike-cap-pink
Nike Basecap Metall Logo TN Käppi,Nike,9.0,3,6,5,104,https://www.vinted.fr/items/6018846178-nike-basecap-metall-logo-tn-kappi
Nike Cap weiss,Nike,6.0,4,3,5,5,https://www.vinted.fr/items/6021348901-nike-cap-weiss
